No,Name,Team,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,POS
164,Thomas Hammond,South West,9.05,9.3,7.65,9.8,8.85,9.2,8.9,62.75,1
163,James Smith,South West,9.15,9.3,7.4,9.65,9.35,9.25,8.5,62.6,2
138,Oliver Wiley,East,9.3,9.2,7.9,9.7,9.35,8.85,7.75,62.05,3
149,Benzi Warishally,South East,8.85,9.4,7.8,9.7,8.6,8.8,8.5,61.65,4
161,Gabriel Urzica,South West,8.85,8.95,8,9.05,8.9,8.75,8.7,61.2,5
159,Cholwe Hachipuka,South West,9.1,9.25,8.1,9.95,8.5,8.5,7.5,60.9,6
147,Aidy Jarred,South East,9.2,9.55,6.5,9.55,8.65,8.75,8.4,60.6,7
155,Kai Napier-Mackman,London,8.5,8.4,7.6,9.6,8.95,9.15,8.35,60.55,8
160,Edward Gould,South West,8.95,9.25,7.8,9.5,8.5,8.05,8.45,60.5,9
119,Kallan Lister-Short,North West,8.75,9,6.95,9.55,8.7,8.85,8.7,60.5,9
112,Blake Mcmanus,East Midlands,9.3,9,7.95,9.45,7.45,8.9,8.3,60.35,11
135,Connor Cummings,East,8.5,8.85,7.6,9.6,9.4,8.9,7.4,60.25,12
152,Tristan Lamble,South East,9.1,9.15,7.55,9.7,8.15,8.5,7.95,60.1,13
110,Toby Holton,Yorkshire,8.4,9.3,7.2,9.2,9.2,7.65,9.05,60,14
133,Liam Cawdell,South,9,8.95,7.9,9.4,8.85,8.3,7.4,59.8,15
151,Petar Kavaldzhiev,South East,8.75,8.65,6.7,9.65,8.8,8.9,8.35,59.8,15
148,Alfie Byers,South East,8.85,9,7.35,9.5,8.7,8.85,7.5,59.75,17
122,Oscar Jellyman,North West,8.75,9.5,7.1,9.3,8.6,8.4,8.1,59.75,17
121,Laurence Richardson,North West,9.15,8.75,7.3,9.15,8.65,8.25,8.5,59.75,17
120,Kyle Millar,North West,9.15,9.6,6.6,9.1,9,9.1,6.9,59.45,20
150,Jaiden Reive,South East,8.2,9.15,7.4,9.8,8.6,8.6,7.7,59.45,20
108,Rhys Watkinson,Yorkshire,8.8,9.3,7.25,9.25,8.25,8.65,7.7,59.2,22
162,Jack Mcmanus,South West,9.05,8.9,7.2,9.6,8.2,8,8.15,59.1,23
118,Jack Knowles,North West,6.7,9.65,6.55,9.3,8.75,9.5,8.65,59.1,23
102,Ajit Palak,West Midlands,8.55,9.3,7.45,8.95,8.45,8.55,7.7,58.95,25
116,Theo Bower,East Midlands,8.7,9,7.5,9.5,8.35,8.15,7.7,58.9,26
111,Arthur Reilly,East Midlands,8.6,8.8,7.8,9.15,8.45,8.4,7.5,58.7,27
129,Tai Anderson,South,8.9,8.5,7.75,9.75,8,7.9,7.85,58.65,28
154,Dylan Yang,London,9,8.4,6.9,9.55,8.2,7.55,9,58.6,29
101,Adam Costin,West Midlands,8.7,8.8,6.65,9.65,8.55,8,8.2,58.55,30
132,Joshua Coomber,South,9.15,9.25,5.15,9.6,9,8.5,7.7,58.35,31
137,Marley Mann,East,9,9.2,7.3,9.7,8.1,7.85,7.15,58.3,32
131,Ethan Jackson-Lowe,South,8.8,9.3,7.55,9.8,7.9,8.1,6.75,58.2,33
115,Kwadwo Afirifah-Mensah,East Midlands,8.6,8.8,7.2,9.55,8.3,8.55,7,58,34
144,Liam Darragh,Scotland,8.25,9.15,6.75,9.55,8.6,8.6,7.05,57.95,35
123,Dafydd Armstrong,Wales,8.75,8.95,6.8,9,8.3,8.6,7.55,57.95,35
156,Kai Noulton,London,9.25,7.85,6.8,9.45,8.3,8.55,7.6,57.8,37
130,Dylan Blower,South,8.65,8.5,7.4,9.55,8.1,7.7,7.4,57.3,38
124,Deri Hassell,Wales,8,9.1,6,9.15,8.5,8.15,8.4,57.3,38
105,Jack Males,West Midlands,8.1,9.3,6.95,8.95,8.35,7.3,8.3,57.25,40
134,Thomas Harrison,South,8.8,8.25,7.2,9.8,8.45,7.15,7.3,56.95,41
106,Peter Willmott,West Midlands,8.45,8.75,6.15,9.4,8.4,8.2,7.6,56.95,41
117,Isaac Irwin,North West,8.7,9.2,6.3,9,6.6,8.6,8.4,56.8,43
114,Jonathan Higgs,East Midlands,9.35,7.8,6.4,9.25,7.8,7.8,8.3,56.7,44
109,Jack Medcalf,Yorkshire,8.05,8.75,8.15,8.8,7.7,7.4,7.6,56.45,45
125,Leo Steadman,Wales,6.3,8.25,7.2,9.15,8.2,8.8,8,55.9,46
146,Robbie Macdonell,Scotland,8.55,8.4,6.8,9.1,7.2,8.3,7.3,55.65,47
157,Kinte Hayles-Richards,London,8,8.8,7.55,9.65,6.3,8.75,6.5,55.55,48
126,Rhys Jones,Wales,8,8.6,6.7,9.35,7.25,7.9,7.7,55.5,49
139,Tom Hinds,East,8.65,8.8,5.45,9.15,8.3,7.9,6.9,55.15,50
143,Jadon Picken,Scotland,8.5,8.45,6.25,9.15,7.95,6.8,7.95,55.05,51
140,William Bernasconi,East,8.05,9.05,6.95,9.2,7.7,7.05,6.85,54.85,52
158,Daniel Trojanovskis,North,8.85,8.1,6.55,9.4,7.65,6.95,7.05,54.55,53
136,Elliot Curson,East,7.95,8.6,6.45,9.1,8.2,6.5,7.55,54.35,54
104,Charlie Buckley,West Midlands,8.35,8.85,7.8,9.45,7.6,7.3,4.95,54.3,55
103,Calum Arden,West Midlands,6.4,9.4,7.45,9,8,7.3,6.65,54.2,56
145,Robbie Gilfillan,Scotland,8.45,8.75,6.5,9.45,6.8,7.15,6.9,54,57
113,James Norman,East Midlands,7.95,8.9,5.95,8.65,6.8,7.25,7.75,53.25,58
127,Thomas Jones,Wales,7.95,7.35,5.7,8.65,8.6,7.9,6.85,53,59
142,Andreas Calin,Scotland,7.35,7.95,7.05,9,7.15,7.25,7.1,52.85,60
128,Wil Davis,Wales,8.2,8.15,5.45,9.35,6.9,7.55,6.7,52.3,61
107,Bruce Mackie,Yorkshire,7.7,8.35,6.2,8.8,7.8,7.2,5.3,51.35,62
153,Che Liston-Lazarides,London,7.55,7.9,6.3,9.1,7.85,5.9,6.4,51,63
141,Aaron Convery,Scotland,6.15,9.3,5.65,9.55,6.9,6.7,5.35,49.6,64
